,budget,cast,keywords,production_method,franchise,creative_type,genre,production_companies
Edge of Tomorrow(2014),178000000.0,19.57349712569186,19.223555030965123,18.275310324703984,18.1041296577019,18.873247430393473,18.97985589795907,19.212551685263847
The Jungle Book(2016),175000000.0,19.921547790408326,19.43577473006993,19.141718895390603,18.1041296577019,18.77027429612816,19.26045758445077,19.96158844301413
Inside Out(2015),175000000.0,20.12756748787551,19.12340984495747,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,20.281660856290824
Spider-Man: Homecoming(2017),175000000.0,19.894291547094987,19.316446647948272,18.275310324703984,20.500361382159983,19.860839450804544,18.97985589795907,19.42141854280101
Suicide Squad(2016),175000000.0,19.651764085933102,19.19423594858301,18.275310324703984,20.10936539367105,19.860839450804544,18.97985589795907,19.459633161161378
Up(2009),175000000.0,20.243537928864445,19.193915786741304,19.524538422716148,18.1041296577019,18.77027429612816,19.26045758445077,20.01986657980022
Coco(2017),175000000.0,20.291740177401156,19.038126663034664,19.524538422716148,18.1041296577019,19.19151692521183,18.669715806276724,20.01986657980022
Monsters vs. Aliens(2009),175000000.0,19.579160384410887,19.729862291161698,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,19.831001510396202
G.I. Joe: The Rise of Cobra(2009),175000000.0,19.32804920874531,17.808199658742765,19.141718895390603,19.5930297809245,18.01463592913939,18.97985589795907,19.541835240114438
Wild Wild West(1999),175000000.0,19.13764611631234,19.221891852480557,18.275310324703984,18.1041296577019,18.16216731290656,19.26045758445077,18.80318372199349
The Mummy: Tomb of the Dragon Emperor(2008),175000000.0,18.689320731959523,19.572270539543517,18.275310324703984,19.820739703849085,18.77027429612816,19.26045758445077,15.7295503586238
Evan Almighty(2007),175000000.0,18.961995648215325,19.003636295725624,18.275310324703984,19.56368949070828,18.77027429612816,17.90034899737404,18.910782522233283
Waterworld(1995),175000000.0,19.080313446722826,19.263579658766847,18.275310324703984,18.1041296577019,18.873247430393473,18.97985589795907,19.292510193691783
King Arthur: Legend of the Sword(2017),175000000.0,19.143518930504317,18.948979135552875,18.275310324703984,18.1041296577019,18.77027429612816,19.26045758445077,19.1810525461194
47 Ronin(2013),175000000.0,19.17543193457964,19.05474792647997,18.275310324703984,18.1041296577019,18.77027429612816,18.97985589795907,18.91422234501334
Guardians of the Galaxy(2014),170000000.0,20.003080896270667,19.287750055362675,19.141718895390603,20.472511913451303,19.860839450804544,18.97985589795907,20.222776876389098
Iron Man 2(2010),170000000.0,19.795828981292583,19.540704955867955,18.275310324703984,20.476341844136243,19.860839450804544,18.97985589795907,19.96443843879392
Captain America: The Winter Soldier(2014),170000000.0,19.953349051187285,19.27031831695474,18.275310324703984,20.39756972500658,19.860839450804544,18.97985589795907,20.222776876389098
Dawn of the Planet of the Apes(2014),170000000.0,19.887388206165305,19.179386548921237,19.141718895390603,19.270024123287477,18.873247430393473,19.26045758445077,19.312600717531968
The Polar Express(2004),170000000.0,19.46903778137593,19.140513358215802,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,18.978612726220238
Snow White and the Huntsman(2012),170000000.0,19.468470384121,19.10656132954415,18.275310324703984,19.412469454439485,18.77027429612816,19.26045758445077,19.64105986019292
Terminator 3: Rise of the Machines(2003),170000000.0,18.943715466145406,19.471175602922763,19.141718895390603,19.69951538714007,18.873247430393473,18.97985589795907,15.7295503586238
Van Helsing(2004),170000000.0,19.391331846652854,19.167107521057357,18.275310324703984,18.1041296577019,18.16216731290656,18.97985589795907,19.424484550611428
Tomorrowland(2015),170000000.0,19.49551253968076,18.810687690777367,18.275310324703984,18.1041296577019,18.873247430393473,19.26045758445077,19.054287597505052
Alice Through the Looking Glass(2016),170000000.0,19.399521670641594,19.415190206620764,19.141718895390603,20.245946747691008,18.77027429612816,19.26045758445077,19.221230932229275
Shrek Forever After(2010),165000000.0,19.933416239625387,19.8787270173489,19.524538422716148,20.36023573247016,19.19151692521183,19.26045758445077,19.831001510396202
Doctor Strange(2016),165000000.0,19.831855036350564,19.262811582884204,18.275310324703984,20.907444842836803,19.860839450804544,18.97985589795907,20.222776876389098
Big Hero 6(2014),165000000.0,20.14561727253009,19.34261497060377,19.524538422716148,18.1041296577019,19.860839450804544,19.26045758445077,20.002303553247177
How to Train Your Dragon(2010),165000000.0,19.824114856193138,19.574202274345538,19.524538422716148,20.085199436704368,18.77027429612816,19.26045758445077,19.831001510396202
Wreck-It Ralph(2012),165000000.0,19.78368125113143,19.28666516561279,19.524538422716148,18.1041296577019,19.19151692521183,19.26045758445077,20.002303553247177
Interstellar(2014),165000000.0,19.81373920895656,19.27207445378662,18.275310324703984,18.1041296577019,18.873247430393473,19.26045758445077,19.954298415474696
Independence Day: Resurgence(2016),165000000.0,19.478040789241835,19.590218127364103,18.275310324703984,20.167845540697876,18.873247430393473,18.97985589795907,19.515056821986562
Cowboys and Aliens(2011),163000000.0,19.368152334910302,19.06086222660168,18.275310324703984,18.1041296577019,18.873247430393473,18.97985589795907,19.034496852724345
Beauty and the Beast(2017),160000000.0,19.827582830081745,19.265001658976903,19.141718895390603,18.1041296577019,18.77027429612816,18.669715806276724,19.474568955589476
Shrek the Third(2007),160000000.0,19.76527250811644,19.482795296032855,19.524538422716148,20.36023573247016,19.19151692521183,19.26045758445077,19.961841827837482
Inception(2010),160000000.0,19.84418886259,19.6796965963317,19.141718895390603,18.1041296577019,18.873247430393473,18.139730905563592,15.7295503586238
The Hunger Games: Mockingjay - Part 2(2015),160000000.0,19.78217572561943,19.350949319870598,18.275310324703984,20.397457031882137,18.873247430393473,18.139730905563592,19.17773612729303
Fast and Furious 6(2013),160000000.0,19.877907169880466,19.43737232330175,18.275310324703984,20.268344753946597,18.01463592913939,18.97985589795907,19.559310182823832
Godzilla(2014),160000000.0,19.611761185282273,19.44255007804365,18.275310324703984,19.99133259949101,18.873247430393473,18.97985589795907,19.65604856981173
X-Men: First Class(2011),160000000.0,19.51987479740106,19.02450123197985,18.275310324703984,19.94781359680506,19.860839450804544,18.97985589795907,19.552241325188884
The Curious Case of Benjamin Button(2008),160000000.0,19.31031024275855,17.808199658742765,18.275310324703984,18.1041296577019,18.77027429612816,17.687104458583065,19.36354178031203
The Sorcerer's Apprentice(2010),160000000.0,19.31447392720351,17.808199658742765,19.141718895390603,18.1041296577019,18.77027429612816,19.26045758445077,19.190777127318967
Poseidon(2006),160000000.0,18.985991756012787,19.731895294261353,18.275310324703984,18.1041296577019,18.01463592913939,19.26045758445077,15.7295503586238
Warcraft(2016),160000000.0,19.48445461381367,19.413573616223765,18.275310324703984,18.1041296577019,18.77027429612816,18.97985589795907,19.68424672948174
